Num. IRP	Objeto	Setor Demandante	Fiscal	Setor do fiscal	Num. Proc. Principal	Num. Proc. Acessório	CNPJ	Nome da Empresa	Estado	Valor total ARP	Valor total adquirido	Num. Item	Descrição	Qtd. ARP	Valor unitário	Qtd. Empenhada	Valor Empenhado	Num. Nota Emp.	Num. Nota Fiscal	Qtd. Adquirida	Qtd. Restante	Saldo dos Produtos
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015795/2024-05	03.772.965/0001-90	PACIFIC FLOWERS INDUSTRIA E COMERCIO LTDA	SC	R$11.257,00	R$0,00	8	Envelope A5	8800	R$0,55	0	R$ -	N/A	N/A	0	0	R$ -
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015795/2024-05	03.772.965/0001-90	PACIFIC FLOWERS INDUSTRIA E COMERCIO LTDA	SC	R$11.257,00	R$0,00	9	Envelope A3	10350	R$0,62	0	R$ -	N/A	N/A	0	0	R$ -
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015800/2024-64	04.205.619/0001-93	JRB COMERCIO, LOCACOES E SERVICOS DE IMPRESSÃO LTDA	RJ	R$8.687,00	R$0,00	6	Envelope A3	11900	R$0,73	0	R$ -	N/A	N/A	0	0	R$ -
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015816/2024-20	07.048.323/0001-02	RC RAMOS COMERCIO LTDA	MG	R$33.127,40	R$11.345,00	46	Prancheta 23 cm	1460	R$22,69	500	R$ 11.345,00	2024NE000111	17.516	500	0	R$ -
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015852/2024-18	07.072.293/0001-61	GRAFICA BORGES DE CAMPO GRANDE LTDA	RJ	R$21.240,00	R$0,00	7	Envelope A4	27900	R$0,38	6000	R$ 2.280,00	2024NE000106	N/A	0	6.000	R$ 2.280,00
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015852/2024-18	07.072.293/0001-61	GRAFICA BORGES DE CAMPO GRANDE LTDA	RJ	R$21.240,00	R$0,00	15	Panfleto 10 x 15 cm	118200	R$0,09	50000	R$ 4.500,00	2024NE000106	N/A	0	50.000	R$ 4.500,00
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.016610/2024-19	10.417.609/0001-14	RUBENS DANTAS NETO	PR	R$1.033.436,00	R$9.600,00	55	Camisa	20965	R$16,00	2500	R$ 40.000,00	2024NE000107	2516	600	1.900	R$ 30.400,00
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.016610/2024-19	10.417.609/0001-14	RUBENS DANTAS NETO	PR	R$1.033.436,00	R$9.600,00	56	Camisa Polo	22516	R$31,00	2500	R$ 77.500,00	2024NE000107	2516	0	2.500	R$ 77.500,00
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015862/2024-39	10.581.468/0001-70	META EMPREEDIMENTOS E SERVIÇOS LTDA	RJ	R$665.052,02	R$3.611,20	1	Banner 1,00 x 1,20 m	1877	R$28,95	600	R$ 17.370,00	2024NE000108	501	86	514	R$ 14.880,30
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015862/2024-39	10.581.468/0001-70	META EMPREEDIMENTOS E SERVIÇOS LTDA	RJ	R$665.052,02	R$3.611,20	2	Faixa em lona 3,00 x 1,00m	560	R$81,80	200	R$ 16.360,00	2024NE000108	501	2	198	R$ 16.196,40
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015862/2024-39	10.581.468/0001-70	META EMPREEDIMENTOS E SERVIÇOS LTDA	RJ	R$665.052,02	R$3.611,20	3	Lona impressa	1870	R$25,73	400	R$ 10.292,00	2024NE000108	N/A	0	400	R$ 10.292,00
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015862/2024-39	10.581.468/0001-70	META EMPREEDIMENTOS E SERVIÇOS LTDA	RJ	R$665.052,02	R$3.611,20	4	Lona 3,00 x 2,30 m	89	R$182,95	20	R$ 3.659,00	2024NE000108	501	2	18	R$ 3.293,10
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015862/2024-39	10.581.468/0001-70	META EMPREEDIMENTOS E SERVIÇOS LTDA	RJ	R$665.052,02	R$3.611,20	5	Lona 00 x 2,30 m	78	R$296,00	20	R$ 5.920,00	2024NE000108	501	2	18	R$ 5.328,00
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015862/2024-39	10.581.468/0001-70	META EMPREEDIMENTOS E SERVIÇOS LTDA	RJ	R$665.052,02	R$3.611,20	38	Botton pin 2,50 x 2,50 cm	12010	R$2,26	0	R$ -	N/A	N/A	0	0	R$ -
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015862/2024-39	10.581.468/0001-70	META EMPREEDIMENTOS E SERVIÇOS LTDA	RJ	R$665.052,02	R$3.611,20	41	Adesivos 69,00 x 33,00 cm	708	R$44,35	200	R$ 8.870,00	2024NE000109	N/A	0	200	R$ 8.870,00
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015862/2024-39	10.581.468/0001-70	META EMPREEDIMENTOS E SERVIÇOS LTDA	RJ	R$665.052,02	R$3.611,20	42	Adesivo vinil impresso	3650	R$21,69	300	R$ 6.507,00	2024NE000109	N/A	0	300	R$ 6.507,00
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015862/2024-39	10.581.468/0001-70	META EMPREEDIMENTOS E SERVIÇOS LTDA	RJ	R$665.052,02	R$3.611,20	43	Adesivo vinil especial	9144	R$21,74	1000	R$ 21.740,00	2024NE000109	N/A	0	1.000	R$ 21.740,00
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015862/2024-39	10.581.468/0001-70	META EMPREEDIMENTOS E SERVIÇOS LTDA	RJ	R$665.052,02	R$3.611,20	44	Adesivo microperfurado	826	R$35,26	100	R$ 3.526,00	2024NE000109	N/A	0	100	R$ 3.526,00
06/2023	Aquisição Serviços Gráficos	CAVN - DIRECAO DO COLEGIO	Bruno Ferreira Matos	CCHSA - DIRECAO DE CENTRO	23074.037314/2023-25	23074.015862/2024-39	10.581.468/0001-70	META EMPREEDIMENTOS E SERVIÇOS LTDA	RJ	R$665.052,02	R$3.611,20	51	Placa de homenagem	695	R$110,00	100	R$ 11.000,00	2024NE000109	N/A	0	100	R$ 11.000,00
