Num. Pregão	Objeto	Setor Demandante	Fiscal	Setor do fiscal	Num. Proc. Principal	Num. Proc. Acessório	CNPJ	Nome da Empresa	Estado	Valor total ARP	Valor total adquirido	Num. Item	Descrição	Qtd. ARP	Valor Unitário	Qtd. Empenhada	Valor Empenhado	Num. Nota Emp.	Num. Nota Fiscal	Valor Nota Fiscal	Qtd. Adquirida	Qtd. Restante	Saldo dos Produtos
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	2	Impressão monocromática de páginas A4.	686400	R$0,02	137.280	R$2.745,60	2023NE000091	44272	R$0,02	16000	81.800	R$1.636,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	2	Impressão monocromática de páginas A4.	686400	R$0,02	137.280	R$2.745,60	2023NE000091	44667	R$0,02	6590	81.800	R$1.636,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	2	Impressão monocromática de páginas A4.	686400	R$0,02	137.280	R$2.745,60	2023NE000091	45061	R$0,02	13443	81.800	R$1.636,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	2	Impressão monocromática de páginas A4.	686400	R$0,02	137.280	R$2.745,60	2023NE000091	45503	R$0,02	9985	81.800	R$1.636,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	3	Impressão monocromática de páginas A4.	1267200	R$0,05	253.440	R$12.672,00	2023NE000091	42111	R$0,05	21120	63.360	R$3.168,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	3	Impressão monocromática de páginas A4.	1267200	R$0,05	253.440	R$12.672,00	2023NE000091	42453	R$0,05	21120	63.360	R$3.168,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	3	Impressão monocromática de páginas A4.	1267200	R$0,05	253.440	R$12.672,00	2023NE000091	42852	R$0,05	21120	63.360	R$3.168,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	3	Impressão monocromática de páginas A4.	1267200	R$0,05	253.440	R$12.672,00	2023NE000091	43309	R$0,05	21120	63.360	R$3.168,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	3	Impressão monocromática de páginas A4.	1267200	R$0,05	253.440	R$12.672,00	2023NE000091	43579	R$0,05	21120	63.360	R$3.168,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	3	Impressão monocromática de páginas A4.	1267200	R$0,05	253.440	R$12.672,00	2023NE000091	43920	R$0,05	21120	63.360	R$3.168,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	3	Impressão monocromática de páginas A4.	1267200	R$0,05	253.440	R$12.672,00	2023NE000091	44272	R$0,05	21120	63.360	R$3.168,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	3	Impressão monocromática de páginas A4.	1267200	R$0,05	253.440	R$12.672,00	2023NE000091	44667	R$0,05	21120	63.360	R$3.168,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	3	Impressão monocromática de páginas A4.	1267200	R$0,05	253.440	R$12.672,00	2023NE000091	45061	R$0,05	21120	63.360	R$3.168,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	3	Impressão monocromática de páginas A4.	1267200	R$0,05	253.440	R$12.672,00	2023NE000091	45503	R$0,05	21120	63.360	R$3.168,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	4	Impressão monocromática de páginas A4.	844800	R$0,02	168.960	R$3.379,20	2023NE000091	N/A	R$ -	0	168.960	R$ -
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	1	Ração suíno, lactação	329	R$102,00	329	R$33.558,00	2024NE000127	28.648	R$102,00	100	29	R$2.958,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	1	Ração suíno, lactação	329	R$102,00	329	R$33.558,00	2024NE000127	30.733	R$102,00	100	29	R$2.958,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	1	Ração suíno, lactação	329	R$102,00	329	R$33.558,00	2024NE000127	32.011	R$102,00	100	29	R$2.958,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	2	Ração suíno, reprodução	754	R$87,00	254	R$22.098,00	2025NE000026	N/A	R$ -	0	254	R$ -
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	2	Ração suíno, reprodução	754	R$87,00	500	R$43.500,00	2024NE000127	28.648	R$87,00	100	200	R$17.400,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	2	Ração suíno, reprodução	754	R$87,00	500	R$43.500,00	2024NE000127	30.733	R$87,00	100	200	R$17.400,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	2	Ração suíno, reprodução	754	R$87,00	500	R$43.500,00	2024NE000127	32.011	R$87,00	100	200	R$17.400,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	4	Ração suíno, pré-inicial	64	R$167,50	64	R$10.720,00	2024NE000127	28.648	R$167,50	20	24	R$4.020,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	4	Ração suíno, pré-inicial	64	R$167,50	64	R$10.720,00	2024NE000127	30.733	R$167,50	20	24	R$4.020,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	7	Ração peixes, 2 a 4 mm	30	R$102,50	30	R$3.075,00	2024NE000127	30.839	R$102,50	10	0	R$ -
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	7	Ração peixes, 2 a 4 mm	30	R$102,50	30	R$3.075,00	2024NE000127	31.335	R$102,50	10	0	R$ -
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	7	Ração peixes, 2 a 4 mm	30	R$102,50	30	R$3.075,00	2024NE000127	32.011	R$102,50	10	0	R$ -
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	8	Ração peixes, 4 a 6 mm	120	R$83,00	120	R$9.960,00	2024NE000127	29.154	R$83,00	20	50	R$4.150,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	8	Ração peixes, 4 a 6 mm	120	R$83,00	120	R$9.960,00	2024NE000127	30.839	R$83,00	20	50	R$4.150,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	8	Ração peixes, 4 a 6 mm	120	R$83,00	120	R$9.960,00	2024NE000127	32.011	R$83,00	30	50	R$4.150,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	9	Ração peixes, 6 a 8 mm	300	R$85,00	300	R$25.500,00	2024NE000127	29.154	R$85,00	75	75	R$6.375,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	9	Ração peixes, 6 a 8 mm	300	R$85,00	300	R$25.500,00	2024NE000127	30.839	R$85,00	75	75	R$6.375,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	9	Ração peixes, 6 a 8 mm	300	R$85,00	300	R$25.500,00	2024NE000127	32.011	R$85,00	75	75	R$6.375,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	10	Ração peixes, 6 a 8 mm	120	R$100,00	53	R$5.300,00	2025NE000026	N/A	R$ -	0	17	R$1.700,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	10	Ração peixes, 6 a 8 mm	120	R$100,00	67	R$6.700,00	2024NE000127	29.481	R$100,00	50	17	R$1.700,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	10	Ração peixes, 6 a 8 mm	120	R$100,00	67	R$6.700,00	2024NE000127	31.203	R$100,00	50	17	R$1.700,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	11	Ração ave, fase postura	67	R$112,00	67	R$7.504,00	2024NE000127	28.648	R$112,00	50	0	R$ -
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	11	Ração ave, fase postura	67	R$112,00	67	R$7.504,00	2024NE000127	31.335	R$112,00	17	0	R$ -
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	12	Ração ave, postura inicial	221	R$99,00	221	R$21.879,00	2024NE000127	28.648	R$99,00	40	86	R$8.514,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	12	Ração ave, postura inicial	221	R$99,00	221	R$21.879,00	2024NE000127	31.335	R$99,00	35	86	R$8.514,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	12	Ração ave, postura inicial	221	R$99,00	221	R$21.879,00	2024NE000127	32.011	R$99,00	60	86	R$8.514,00
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	13	Ração ave, corte inicial	5	R$134,03	5	R$670,15	2024NE000127	N/A	R$ -	0	5	R$ -
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	14	Ração ave, corte final	59	R$97,50	59	R$5.752,50	2024NE000127	32.011	R$97,50	46	13	R$1.267,50
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	15	Ração bovina, lactação	697	R$114,00	697	R$79.458,00	2024NE000127	28.648	R$114,00	232	0	R$ -
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	15	Ração bovina, lactação	697	R$114,00	697	R$79.458,00	2024NE000127	30.241	R$114,00	351	0	R$ -
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	15	Ração bovina, lactação	697	R$114,00	697	R$79.458,00	2024NE000127			
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	22	Feno de gramínea	100	R$3,19	100	R$319,00	2024NE000127	28.648	R$3,19	100	0	R$ -
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	28	Ração peixes, 2 mm	8	R$234,50	8	R$1.876,00	2024NE000127	29.154	R$234,50	8	0	R$ -
02/2024	Aquisição de ração para animais.	CCHSA - LAB. AVICULTURA	Édino Farias dos Santos	CCHSA - LAB. AVICULTURA	23074.029341/2024-50	23074.090850/2024-44	22.527.686/0001-06	FARELO JP IND. E COM. DE RACOES LTDA	PB	R$292.414,89	R$218.638,24	31	Farelo, trigo	48	R$61,79	48	R$2.965,92	2024NE000127	28.648	R$61,79	24	0	R$ -
